"","1975:Q1","1975:Q2","1975:Q3","1975:Q4","1976:Q1","1976:Q2","1976:Q3","1976:Q4","1977:Q1","1977:Q2","1977:Q3","1977:Q4","1978:Q1","1978:Q2","1978:Q3","1978:Q4","1979:Q1","1979:Q2","1979:Q3","1979:Q4","1980:Q1","1980:Q2","1980:Q3","1980:Q4","1981:Q1","1981:Q2","1981:Q3","1981:Q4","1982:Q1","1982:Q2","1982:Q3","1982:Q4","1983:Q1","1983:Q2","1983:Q3","1983:Q4","1984:Q1","1984:Q2","1984:Q3","1984:Q4","1985:Q1","1985:Q2","1985:Q3","1985:Q4","1986:Q1","1986:Q2","1986:Q3","1986:Q4","1987:Q1","1987:Q2","1987:Q3","1987:Q4","1988:Q1","1988:Q2","1988:Q3","1988:Q4","1989:Q1","1989:Q2","1989:Q3","1989:Q4","1990:Q1","1990:Q2","1990:Q3","1990:Q4","1991:Q1","1991:Q2","1991:Q3","1991:Q4","1992:Q1","1992:Q2","1992:Q3","1992:Q4","1993:Q1","1993:Q2","1993:Q3","1993:Q4","1994:Q1","1994:Q2","1994:Q3","1994:Q4","1995:Q1","1995:Q2","1995:Q3","1995:Q4","1996:Q1","1996:Q2","1996:Q3","1996:Q4","1997:Q1","1997:Q2","1997:Q3","1997:Q4","1998:Q1","1998:Q2","1998:Q3","1998:Q4","1999:Q1","1999:Q2","1999:Q3","1999:Q4","2000:Q1","2000:Q2","2000:Q3","2000:Q4","2001:Q1","2001:Q2","2001:Q3","2001:Q4","2002:Q1","2002:Q2","2002:Q3","2002:Q4","2003:Q1","2003:Q2","2003:Q3","2003:Q4","2004:Q1","2004:Q2","2004:Q3","2004:Q4","2005:Q1","2005:Q2","2005:Q3","2005:Q4","2006:Q1","2006:Q2","2006:Q3","2006:Q4","2007:Q1","2007:Q2","2007:Q3","2007:Q4","2008:Q1","2008:Q2","2008:Q3","2008:Q4","2009:Q1","2009:Q2","2009:Q3","2009:Q4","2010:Q1","2010:Q2","2010:Q3","2010:Q4","2011:Q1","2011:Q2","2011:Q3","2011:Q4","2012:Q1","2012:Q2","2012:Q3","2012:Q4","2013:Q1","2013:Q2","2013:Q3","2013:Q4","2014:Q1","2014:Q2","2014:Q3","2014:Q4","2015:Q1","2015:Q2","2015:Q3","2015:Q4","2016:Q1","2016:Q2","2016:Q3","2016:Q4","2017:Q1"
"Australia",39.16,38.5,38.61,37.76,37.95,38.12,38.36,37.9,37.94,37.73,37.75,37.42,37.75,37.44,37.55,36.98,37.11,36.94,38.73,40.29,41.57,42.7,43.01,42.59,44.97,45.42,43.8,44.56,43.26,43.25,41.37,40.31,40.37,41,40.48,40.8,41.98,42.59,43.97,43.09,44.84,44.06,44.11,44.5,44.29,45.19,44.36,43.79,43.59,43.24,43.39,44.68,45.94,47.49,51.33,55.61,59.37,59.07,58.36,57.62,57.14,56.48,55.7,54.66,54.48,54.91,56.13,55.53,54.99,55.03,54.97,55.08,55.34,55.25,55.39,55.57,55.93,56.42,57.26,56.48,56.67,55.59,55.46,54.96,54.52,54.87,55.19,54.93,55.21,55.73,56.69,57.42,58.71,59.57,59.77,60.7,61.69,62.59,63.81,65.42,66.2,66.96,65.54,66.67,67.57,69.36,73.13,74.92,77.99,81.93,84.96,87.14,88.74,93.33,98.84,102.2,101.61,99.98,100.04,100.95,100.16,100.01,99.31,100.52,100.79,103.2,105.29,106.53,107.04,110.04,114.14,117.57,117.48,115.34,111.85,109.41,108.02,111.8,116.39,121.51,125.03,126.41,125.26,125.18,122.59,120.23,117.79,116.27,115.96,115.27,114.4,116.01,116.51,118.57,121.18,125.16,126.12,128.02,130.08,132.02,134.01,139.46,142.59,141.82,142.13,144.49,146.95,153,156.41
"Belgium",44.51,45.66,47.01,48.67,50.6,52.26,53.74,55.2,56.32,57.98,59.73,61.4,62.63,63.81,64.9,65.83,67.26,67.84,67.98,67.48,67.07,64.86,62.56,60.33,58.21,56.43,54.74,53.15,51.69,50.47,49.5,48.51,47.34,46.41,45.59,44.93,44.57,44.04,43.48,42.98,41.96,42,42.31,42.68,43.21,43.63,44.1,44.52,44.74,45.13,45.59,46.13,47.27,47.91,48.52,49.25,50.28,51.44,52.64,53.83,54.85,55.43,55.81,56.13,56.23,56.58,57.21,58.04,59.05,59.7,60.07,60.33,60.68,61.27,61.99,62.81,63.46,64.21,64.79,65.2,65.31,65.92,66.32,67.18,67.14,67.56,67.47,67.51,67.38,68.23,68.49,69.44,70.37,71,72.35,74.04,75.46,76.52,77.56,77.81,77.74,77.74,78.03,78.81,79.87,79.56,80.19,81.08,81.75,82.89,84.1,85.4,85.78,86.9,87.6,88.72,89.32,89.81,91.32,93.64,96.43,98.73,100.95,103.88,106.23,107.66,109.33,111.44,112.91,114.35,116.01,116.59,116.98,116.52,116.34,117.28,117.41,117.46,117.78,118.42,119.11,119.64,120.56,121.26,121.37,121.44,121.8,122.08,121.94,122.21,122,121.78,122.05,121.64,120.94,120.39,119.98,120.18,120.21,120.57,121.07,120.81,120.89,120.85,121.12,121.21,121.73,122.33,122.12
"Canada",59.42,59.2,59.89,59.54,59.2,59.85,58.89,57.63,55.91,55.3,54.59,56.12,55.83,56.05,56.14,55.28,55.42,56.19,57.45,58.78,60.13,61.72,63.01,65.7,71.76,76.81,82.9,78.33,75.24,71.67,66.99,61.51,61.24,61.27,61.24,60.37,58.9,59.9,59.21,57.28,56.47,57.18,57.4,58.33,58.46,60.45,61.83,63.48,65.42,69.4,71.89,72.39,71.9,74.42,77.17,78.42,81.19,86.46,84.85,85.01,86.51,87.58,82.69,79.14,74.84,74.17,76.45,76.82,75.19,75.18,74.03,73.58,74.02,73.59,74.07,73.31,73.1,73.83,73.86,74.22,73.69,72.16,71.44,71.23,70.53,69.68,69.08,68.38,68.79,69.38,72.27,72.14,72.68,72.58,72.39,72.03,72.28,73.09,72.58,73.52,73.8,74.2,73.94,73.63,74.43,74.35,74.92,75.73,78.3,79.17,79.93,81.87,83.49,85.48,87.55,88.7,90.75,93.73,95.02,95.32,97.09,99.49,100.91,102.5,105.79,111.22,114.36,115.19,116.69,121.5,124.12,124.57,126.04,126.95,123.84,120.77,117.66,119.42,122.76,125.07,128.82,131.49,129.7,128.39,130.18,133.23,133.64,132.97,134.81,138.3,137.98,136.6,136.62,139.92,140.17,140.82,142.06,145.06,145.78,146.32,148.47,152.7,154.65,156.18,160.2,172.16,178.14,179.53,186.32
"Switzerland",93.83,91.83,90.41,88.91,86.83,85.89,84.98,85.19,84.54,85.1,85.71,85.65,87.21,88.01,88.94,89.68,90.62,91.13,92.41,93.78,95.43,96.11,97.08,97.44,98.74,100.4,100.55,100.77,101.23,99.71,98.52,98.25,99.2,99.82,101.05,101.55,102.3,102.94,103.18,103.29,104.18,104.5,105.42,106.07,108.26,108.63,110.12,111.59,113.46,115.78,117.77,119.86,124.2,128.5,133.32,138.97,142.29,143.82,144.77,143.59,141.45,138.6,134.9,131.16,129.43,128.12,127,124.26,121.6,118.84,115.92,113.27,111.39,109.36,107.09,107.13,107.96,108.7,108.48,107.21,105.27,103.94,102.25,100.28,98.19,97.16,96.47,94.72,93.4,92.6,92.22,91.76,91.63,91.48,91.34,91.13,91.1,91,90.69,90.54,90.19,90.67,90.6,90.53,90.92,91.31,91.96,93.2,94.58,95.59,96.6,97.53,97.75,98.22,98.58,98.92,99.44,99.62,100.06,99.95,99.88,99.61,100.07,100.44,100.89,101.11,100.99,101.46,101.96,101.78,101.71,101.24,101.16,101.84,103.02,104.42,106.09,107.51,108.77,110.28,111.04,112.11,113.55,114.45,115.2,116.67,118.23,119.68,121.08,122.28,123.76,125.63,127.44,129.06,129.79,130.8,130.93,131.56,131.98,132.82,134.3,135.28,135.78,136.48,137.36,137.54,138.22,139.28,140.06
"Germany",108.59,108.46,109.07,109.3,109.9,110.6,111.24,112.64,113.76,115.29,116.85,118.75,121.49,122.94,124.55,126.14,126.79,126.28,125.73,125.59,123.74,123.27,124.08,124.98,125.96,126.26,126.06,125.92,125.96,125.57,124.44,123.35,122.94,122.15,120.14,118.86,117.13,115.51,114.66,113.29,111.33,110.52,110.61,110.26,110.77,111.97,111.66,111.36,111.14,110.63,110.2,110.35,111.32,111.33,110.78,111.72,110.82,110.66,111.31,111.15,109.54,109.39,109.8,109.92,110.77,110.71,110.1,109.23,110.29,110.2,110.78,111.17,110.56,110.84,111.71,112.25,112.51,113.34,113.89,114.26,114.73,114.59,114.28,113.88,114.02,113.65,112.99,112.18,111.08,110.45,108.99,108.5,108.71,108.09,107.84,107.89,108.58,108.36,108.72,109.04,108.92,109.13,109.16,109,108.87,108.28,107.36,105.79,105.15,105.33,104.89,103.84,103.03,104.04,103.37,102.49,102.4,101.13,100.04,99.08,100.45,100.29,100.08,99.17,99.23,99.17,98.26,97.61,95.61,95.25,94.84,94.4,94.83,94.41,93.04,93.42,94.16,94.64,94.53,94.76,94.04,93.85,93.66,93.52,94.16,94.53,94.6,94.7,95.09,96.15,97.02,97.66,97.98,99.01,99.11,99.19,99.67,100.81,101.23,101.83,103.2,104.33,105.36,106.47,108,109.95,111.61,112.66,113.97
"Denmark",57.37,57.61,59.07,58.07,58.44,57.28,57.34,58.64,57.49,59.28,60.47,62.72,63.83,64.63,65.13,64.61,64.62,65.48,65.18,63.9,61.29,57.46,57.1,55.86,53.91,49.86,46.95,46.76,45.16,44.14,42.44,42.95,46.05,50.66,50.68,51.46,53.34,53.12,53.17,55.18,56.8,58.48,62.55,64.31,68.15,67.69,65.77,66.39,61.14,59.76,58.92,58.05,58.36,57.12,57.72,57.66,56.25,55.26,53.96,53.2,51.47,49.9,48.8,48.58,48.97,48.93,48.86,49.2,48.88,48.27,47.36,46.03,45.49,44.82,46.86,49.48,51.9,51.16,50.26,50.96,51.72,53.1,54.57,56.38,56.88,57.53,59.1,61.36,62.86,63.68,64.9,65.7,66.64,68.66,69.66,71.16,71.83,72.03,72.84,72.56,73.25,74.35,75.82,76.28,77.38,77.19,77.95,77.42,78.32,78.63,79.27,79.09,78.89,80.06,81.17,81.31,83.16,85.33,87.97,89.59,92.85,97.12,102.63,107.39,113.92,119.21,121.16,121.56,123.1,122.63,123.11,120.34,118.32,117.57,113.54,104.72,98.93,98.29,98.72,98.45,98.17,99.25,99.15,98.92,95.8,95.86,93.45,90.58,88.91,88.67,88.61,88.93,89.53,90.77,90.45,90.86,91.45,93.21,93.17,93.25,96.35,98,98.17,98.67,100.52,100.72,101.44,101.53,101.73
"Spain",90.01,97.11,95.55,98.86,96.98,103.97,102.79,97.81,93.57,84.8,93.85,89.38,93.55,98.21,95.83,90.13,86.08,87.91,83.54,80.74,79.52,78.5,84.97,87.16,82.24,82.75,84.5,83.95,73.43,63.52,59.79,52.19,54.45,50.96,46.71,43.06,45.52,46.19,50.55,49.8,50.33,49.6,48.32,51.54,50.37,40.79,37.34,35.74,36.36,38.21,39.73,41.74,44.25,46.11,47.17,48.61,51.45,53.24,54.84,55.44,58.15,58.2,58.42,58.5,60.88,62.32,62.78,64.49,60.47,58.21,57.22,56.17,55.03,55.16,54.92,54.33,53.22,52.77,52.76,52,52.07,51.95,51.72,52.55,51.87,51.31,50.67,51.35,51.02,51.96,51.43,50.88,51.82,53.65,54.05,54.23,55.08,55.87,56.46,57.88,58.23,58.73,58.65,59.56,60.79,61.63,62.56,64.57,67.23,69.36,71.11,73.29,76.03,78.82,81.32,84.13,87.09,89.51,91.64,94.77,97.55,98.95,100.56,102.94,104.86,105.61,106.79,108.88,109.17,108.79,109.03,109.27,109.32,106.94,104.92,103.11,102.03,99.46,97.94,96.82,96.02,93.97,92.57,91.18,89.04,86.67,85.41,83.47,80.87,77.78,75.48,73.08,72.77,71.67,71.42,70.26,69.83,69.11,69.57,70.23,70.21,69.88,70.84,71.56,72.19,71.89,72.16,72.1,72.08
"Finland",54.2,53.63,53.49,56.17,52.07,51.46,50.63,49.95,48.94,48.04,46.63,45.99,46,45.74,45.19,44.81,44.71,44.57,44.63,44.93,45.47,45.98,46.09,45.76,46.88,46.77,47.69,48.36,50.09,50.87,51.63,53.34,55.71,57.04,58.35,59.47,60.2,60.64,60.64,60.26,60.85,60.92,61.05,61.84,62.5,61.94,62.29,63.35,63.82,64.08,65.64,67.67,68.9,72.82,76.26,82.29,85.37,89.33,90.55,89.65,87.41,87.06,83.87,81.43,78.51,74.95,70.92,68.24,64.34,61.16,58.09,56.11,52.94,52.09,52.31,52.41,53.42,53.47,52.74,51.84,51.25,51.25,50.53,50.38,50.68,51.68,52.4,53.38,54.82,56.79,58.58,59.68,61.41,62.66,63.78,64.39,65.64,67.03,68.41,69.92,71.44,71.01,69.97,70.42,71.37,70.86,70.48,71.85,74.8,76.13,76.92,78.05,80.3,81.72,82.88,85.81,88.47,90.63,90.99,93,96.62,99.3,101.13,102.95,103.76,104.87,105.81,107.2,108.17,109.15,109.69,109.25,108.98,107.81,105.25,101.91,101.19,102.31,105.05,107.78,109.83,111.19,112.15,111.65,110.8,111.29,110.74,109.62,109.24,108.98,109.49,109.09,108.24,108.18,108.27,107.28,106.48,106.24,105.73,104.82,104.72,104.51,104.57,104.46,104.59,104.95,105.23,104.38,103.92
"France",43.2,43.65,44.27,45.12,45.76,46.34,46.82,47.43,48.62,48.77,49.13,49.85,50.27,50.39,50.33,50.81,50.87,51.2,51.36,52.4,54.09,54.55,54.66,54.81,54.49,53.95,52.82,52.2,51.26,50.4,50.12,49.87,49.4,48.59,47.93,47.58,47.25,46.8,46.28,46.04,45.71,45.24,45.09,45.37,45.82,46.06,46.3,46.73,47.2,47.65,48.21,49.28,50.57,51.41,52.15,53.33,54.87,55.52,56.23,57.27,58.5,59.03,59.26,59.91,61.09,60.99,60.31,59.92,58.71,57.79,56.93,56.78,56.52,56,55.42,55.46,55.79,55.34,54.77,54.87,54.72,54.33,53.61,53.71,53.94,54.05,54.86,54.6,52.63,54.05,53.95,54.08,53.36,54.28,55.3,55.71,56.78,57.87,59.77,60.13,60.9,62.15,63.39,63.12,64.21,65.58,66.8,67.42,68.08,70.09,72.28,73.44,74.62,77.26,79.44,81.25,83.97,86.57,89.76,92.38,95.29,98.63,101.79,104.29,106.67,108.96,110.74,112.36,113.36,114.13,114.73,115.42,114.42,113.09,111.98,109.7,106.46,104.57,105.32,106.31,107.4,108.73,110.45,112.37,112.87,114.27,115.05,114.35,112.95,112.24,111.69,110.68,109.6,109.02,108.23,108.16,107.15,107.33,106.68,105.27,104.63,103.96,104.17,104.42,104.94,104.91,105.71,105.84,106.99
"UK",31.71,30.66,30.03,29.06,28.86,28.71,28.32,27.5,26.78,26.16,26.18,26.71,26.85,27.3,28.4,29.55,30.68,32.06,31.92,32.88,33.31,33.14,33.35,32.25,31.95,31.69,31.12,29.72,28.77,29.28,29.36,29.33,30.18,30.64,31.24,31.28,31.53,31.76,32.21,32.51,32.9,33.36,33.11,34.22,35.08,36.06,36.78,37.71,38.77,39.91,40.85,43.18,44.82,46.61,51.57,54.53,55.79,56.46,56.68,55,53.51,51.77,50.68,49.79,48.69,47.22,46.67,46.49,45.54,44.18,43.28,41.85,41.78,41.69,41.63,41.12,41.92,42.06,41.93,41.95,41.58,41.44,40.64,40.49,41.02,40.42,41.1,42.17,43.09,43.31,44.39,44.48,45.97,48.02,49.27,49.38,49.85,51.79,54.42,56.3,57.91,60.38,60.96,63.57,63.42,64.87,66.44,66.59,68.89,73.55,77.47,81.6,84.16,85.64,86.39,88.69,90.5,94.2,96.95,97.78,98.5,99.77,100.51,101.21,102.51,104.38,105.81,107.84,111.01,112.72,114.74,115.03,111.84,108.55,101.59,94.93,91.97,91.87,94.26,96.87,97.71,97.74,97.51,95.63,93.59,92.43,91.67,91.21,91.03,91.22,90.99,90.82,90.49,90.76,91.26,92.74,94.58,96.4,97.78,99.08,100.18,101.2,103.3,105.38,107.52,108.35,108.79,109.47,110.81
